アビリティ名,効果詳細
攻勢の縁・弐({作品1}＆{作品2}),"＜シリーズが「{作品1}」または「{作品2}」であるキャラクターが装備している場合＞
シリーズが「{作品1}」または「{作品2}」である味方全体の敵に与えるダメージが20%上昇する
※シリーズ「その他」のキャラクターは対象外"
攻勢の刻印({作品}),"＜シリーズが「{作品}」であるキャラクターの場合＞
敵に与えるダメージが50%上昇する
※シリーズ「その他」のキャラクターは対象外"
攻勢の刻印({作品1}＆{作品2}),"＜シリーズが「{作品1}」または「{作品2}」であるキャラクターの場合＞
敵に与えるダメージが50%上昇する
※シリーズ「その他」のキャラクターは対象外"
四元の気鋭,腕力・体力・器用さ・素早さ・知力・精神・愛・魅力を50上昇させる
四元の堅守,被ダメージを15%軽減する
四元の猛攻,敵に与えるダメージが40%上昇する
灼熱の宝玉,"[熱属性を含む攻撃命中時]
自身の腕力・知力が上昇する(効果中)"
守護の縁({作品}),"＜シリーズが「{作品}」であるキャラクターが装備している場合＞
シリーズが「{作品}」である味方全体の被ダメージを10%軽減する
※シリーズ「その他」のキャラクターは対象外"
守護の縁({作品1}＆{作品2}),"＜シリーズが「{作品1}」または「{作品2}」であるキャラクターが装備している場合＞
シリーズが「{作品1}」または「{作品2}」である味方全体の被ダメージを10%軽減する
※シリーズ「その他」のキャラクターは対象外"
守護の刻印({作品}),"＜シリーズが「{作品}」であるキャラクターの場合＞
被ダメージを15%軽減する
※シリーズ「その他」のキャラクターは対象外"
守護の刻印({作品1}＆{作品2}),"＜シリーズが「{作品1}」または「{作品2}」であるキャラクターの場合＞
被ダメージを15%軽減する
※シリーズ「その他」のキャラクターは対象外"
俊足の刻印・肆,"[バトル開始時]
自身に「行動順補正上昇」(効果大/効果バトル中永続)を付与する"
浄化の紋章({状態}),"[ターン終了時]
自身の{状態}状態を解除する"
水波の守護,"＜自身が「水波のドレス」を装備している場合＞
味方生存者全体の被ダメージを15%軽減する"
晴天下の輝き,"[バトル開始時]
自身に「最大BP増加」(増加量5/効果バトル中永続)を付与する"
晴天下の煌めき,"[バトル開始時]
自身に「消費BP減少」(減少量5/効果1ターン)を付与する"
竹崎カニパワー,"[バトル開始時]
自身に「ターン終了時ODゲージ上昇(満タン/1回)」(効果1ターン)を付与する
自身の愛・魅力が100上昇する"
鈍足の刻印・肆,"[バトル開始時]
自身に「行動順補正低下」(効果大/効果バトル中永続)を付与する"
燃え盛る鳳炎,"＜自身が「鳳炎のケープ」を装備している場合＞
敵に与えるダメージが100%上昇する"
能力+Ⅱ({能力}),素早さが200上昇する
波打ち際の思い出,"[バトル開始時]
自身に「瀕死時攻撃強化」(効果超極大+/効果4ターン)と「瀕死時防御強化」(効果小/効果4ターン)を付与する"
秘められし力(全),"＜自身が「聖王の鎧」を装備している場合＞
自身の腕力・体力・器用さ・素早さ・知力・精神・愛・魅力が100上昇する"
武装の心得({武器}),"＜自身が{武器}を装備している場合＞
自身の腕力・体力・器用さ・素早さ・知力・精神・愛・魅力が100上昇する"
唯一天授・参,"[バトル開始時]
＜飯綱こよみが装備している場合＞
自身に「エクストラフォース(神楽鈴ノ音色/中)」(効果バトル中永続)を付与する"
勇者の盾,"[術攻撃を受けた時]
被ダメージを5%軽減する"
勇者の歩み,"[ターン終了時]
自身のHPを回復する(効果極小)"
旅の余韻,"[バトル開始時]
自身に「ターン終了時BP回復(+3)」(効果3ターン)を付与する
自身の愛・魅力が100上昇する"
冷厳の結晶,"[冷属性を含む攻撃命中時]
自身の器用さ・知力が上昇する(効果中)"
歴戦の鎧,"[ターン終了時]
自身の毒状態を解除する"
歴戦の盾,"[熱・冷属性を含む攻撃を受けた時]
被ダメージを5%軽減する"
歴戦の銘印({作品}),"＜シリーズが「{作品}」のキャラクターが装備している場合＞
自身の敵に与えるダメージが50%上昇する
※シリーズ「その他」のキャラクターは対象外"
煉獄の纏衣,"[熱属性を含む攻撃を受けた時]
自身の体力・精神が上昇する(効果中)"
瀑流の纏衣,"[冷属性を含む攻撃を受けた時]
自身の体力・精神が上昇する(効果中)"
